Instance|Question|Answer|Label
The two workmen laid plastic on the floor to protect it . Each person was dressed in old clothes and gathered the tools they would need . They brought a screwdriver , stepladder , large and small paintbrushes , a roller and pan for the paint . He took his screwdriver and used it to pry the lid off of the can of paint . He picked up the wooden stirrer and stirred the paint thoroughly . He took the paint can and climbed the stepladder until he could reach the ceiling . He then dipped the small brush in the paint and carefully painted the edge of the wall where it met the ceiling . He then took a bigger brush and dipped that in the paint . He painted both corner edges of the wall and along the floor edge . Another worker filled the roller pan with paint and rolled the roller in the paint until it was completely coated .|On what part of the wall did the worker paint the edge of the wall?|Where the plastic is across the floor|0
The two workmen laid plastic on the floor to protect it . Each person was dressed in old clothes and gathered the tools they would need . They brought a screwdriver , stepladder , large and small paintbrushes , a roller and pan for the paint . He took his screwdriver and used it to pry the lid off of the can of paint . He picked up the wooden stirrer and stirred the paint thoroughly . He took the paint can and climbed the stepladder until he could reach the ceiling . He then dipped the small brush in the paint and carefully painted the edge of the wall where it met the ceiling . He then took a bigger brush and dipped that in the paint . He painted both corner edges of the wall and along the floor edge . Another worker filled the roller pan with paint and rolled the roller in the paint until it was completely coated .|On what part of the wall did the worker paint the edge of the wall?|Where the edge of the wall meets the ceiling|1
The two workmen laid plastic on the floor to protect it . Each person was dressed in old clothes and gathered the tools they would need . They brought a screwdriver , stepladder , large and small paintbrushes , a roller and pan for the paint . He took his screwdriver and used it to pry the lid off of the can of paint . He picked up the wooden stirrer and stirred the paint thoroughly . He took the paint can and climbed the stepladder until he could reach the ceiling . He then dipped the small brush in the paint and carefully painted the edge of the wall where it met the ceiling . He then took a bigger brush and dipped that in the paint . He painted both corner edges of the wall and along the floor edge . Another worker filled the roller pan with paint and rolled the roller in the paint until it was completely coated .|Who painted the edge of the wall across the entire top of the wall from one corner to the next?|One of the team members|1
The two workmen laid plastic on the floor to protect it . Each person was dressed in old clothes and gathered the tools they would need . They brought a screwdriver , stepladder , large and small paintbrushes , a roller and pan for the paint . He took his screwdriver and used it to pry the lid off of the can of paint . He picked up the wooden stirrer and stirred the paint thoroughly . He took the paint can and climbed the stepladder until he could reach the ceiling . He then dipped the small brush in the paint and carefully painted the edge of the wall where it met the ceiling . He then took a bigger brush and dipped that in the paint . He painted both corner edges of the wall and along the floor edge . Another worker filled the roller pan with paint and rolled the roller in the paint until it was completely coated .|Who painted the edge of the wall across the entire top of the wall from one corner to the next?|The real estate agent.|0
The two workmen laid plastic on the floor to protect it . Each person was dressed in old clothes and gathered the tools they would need . They brought a screwdriver , stepladder , large and small paintbrushes , a roller and pan for the paint . He took his screwdriver and used it to pry the lid off of the can of paint . He picked up the wooden stirrer and stirred the paint thoroughly . He took the paint can and climbed the stepladder until he could reach the ceiling . He then dipped the small brush in the paint and carefully painted the edge of the wall where it met the ceiling . He then took a bigger brush and dipped that in the paint . He painted both corner edges of the wall and along the floor edge . Another worker filled the roller pan with paint and rolled the roller in the paint until it was completely coated .|Where did the worker set the gallon paint that they brought in?|On plastic|1
The two workmen laid plastic on the floor to protect it . Each person was dressed in old clothes and gathered the tools they would need . They brought a screwdriver , stepladder , large and small paintbrushes , a roller and pan for the paint . He took his screwdriver and used it to pry the lid off of the can of paint . He picked up the wooden stirrer and stirred the paint thoroughly . He took the paint can and climbed the stepladder until he could reach the ceiling . He then dipped the small brush in the paint and carefully painted the edge of the wall where it met the ceiling . He then took a bigger brush and dipped that in the paint . He painted both corner edges of the wall and along the floor edge . Another worker filled the roller pan with paint and rolled the roller in the paint until it was completely coated .|Where did the worker set the gallon paint that they brought in?|On the workbench.|0
The two workmen laid plastic on the floor to protect it . Each person was dressed in old clothes and gathered the tools they would need . They brought a screwdriver , stepladder , large and small paintbrushes , a roller and pan for the paint . He took his screwdriver and used it to pry the lid off of the can of paint . He picked up the wooden stirrer and stirred the paint thoroughly . He took the paint can and climbed the stepladder until he could reach the ceiling . He then dipped the small brush in the paint and carefully painted the edge of the wall where it met the ceiling . He then took a bigger brush and dipped that in the paint . He painted both corner edges of the wall and along the floor edge . Another worker filled the roller pan with paint and rolled the roller in the paint until it was completely coated .|What did the worker set on the plastic?|Paint supplies|1
The two workmen laid plastic on the floor to protect it . Each person was dressed in old clothes and gathered the tools they would need . They brought a screwdriver , stepladder , large and small paintbrushes , a roller and pan for the paint . He took his screwdriver and used it to pry the lid off of the can of paint . He picked up the wooden stirrer and stirred the paint thoroughly . He took the paint can and climbed the stepladder until he could reach the ceiling . He then dipped the small brush in the paint and carefully painted the edge of the wall where it met the ceiling . He then took a bigger brush and dipped that in the paint . He painted both corner edges of the wall and along the floor edge . Another worker filled the roller pan with paint and rolled the roller in the paint until it was completely coated .|What did the worker set on the plastic?|Floor edge|0
The two workmen laid plastic on the floor to protect it . Each person was dressed in old clothes and gathered the tools they would need . They brought a screwdriver , stepladder , large and small paintbrushes , a roller and pan for the paint . He took his screwdriver and used it to pry the lid off of the can of paint . He picked up the wooden stirrer and stirred the paint thoroughly . He took the paint can and climbed the stepladder until he could reach the ceiling . He then dipped the small brush in the paint and carefully painted the edge of the wall where it met the ceiling . He then took a bigger brush and dipped that in the paint . He painted both corner edges of the wall and along the floor edge . Another worker filled the roller pan with paint and rolled the roller in the paint until it was completely coated .|What did the worker do across the entire top of the wall from one corner to the next?|Painted|1
The two workmen laid plastic on the floor to protect it . Each person was dressed in old clothes and gathered the tools they would need . They brought a screwdriver , stepladder , large and small paintbrushes , a roller and pan for the paint . He took his screwdriver and used it to pry the lid off of the can of paint . He picked up the wooden stirrer and stirred the paint thoroughly . He took the paint can and climbed the stepladder until he could reach the ceiling . He then dipped the small brush in the paint and carefully painted the edge of the wall where it met the ceiling . He then took a bigger brush and dipped that in the paint . He painted both corner edges of the wall and along the floor edge . Another worker filled the roller pan with paint and rolled the roller in the paint until it was completely coated .|What did the worker do across the entire top of the wall from one corner to the next?|put water on it|0
The two workmen laid plastic on the floor to protect it . Each person was dressed in old clothes and gathered the tools they would need . They brought a screwdriver , stepladder , large and small paintbrushes , a roller and pan for the paint . He took his screwdriver and used it to pry the lid off of the can of paint . He picked up the wooden stirrer and stirred the paint thoroughly . He took the paint can and climbed the stepladder until he could reach the ceiling . He then dipped the small brush in the paint and carefully painted the edge of the wall where it met the ceiling . He then took a bigger brush and dipped that in the paint . He painted both corner edges of the wall and along the floor edge . Another worker filled the roller pan with paint and rolled the roller in the paint until it was completely coated .|When did one worker set a can of paint on the plastic?|when they were doing the paint|1
The two workmen laid plastic on the floor to protect it . Each person was dressed in old clothes and gathered the tools they would need . They brought a screwdriver , stepladder , large and small paintbrushes , a roller and pan for the paint . He took his screwdriver and used it to pry the lid off of the can of paint . He picked up the wooden stirrer and stirred the paint thoroughly . He took the paint can and climbed the stepladder until he could reach the ceiling . He then dipped the small brush in the paint and carefully painted the edge of the wall where it met the ceiling . He then took a bigger brush and dipped that in the paint . He painted both corner edges of the wall and along the floor edge . Another worker filled the roller pan with paint and rolled the roller in the paint until it was completely coated .|When did one worker set a can of paint on the plastic?|After the ceiling was painted|0
The other day , my best friend and I were riding to his house . When we were almost there , I noticed that the front tire on my bicycle felt rather wobbly and was most likely flat . I was in luck however , as my friend had a bicycle repair kit and some spare tires . Once we arrived at my friend 's house , I asked my friend if he let me borrow his bicycle repair kit . Next I filled the tube with air to check where the tube was damaged , and found a small glass shard which had punctured through it . After making ensure the tube was fully deflated , I repaired the puncture in the tube by using glue and applying a patch on top , then slid it back onto the tire using my hands . Next , I placed and pushed the tire back onto the tube . Finally , I pumped air into the tire until it was filled up and the bicycle was ready to be ridden again .|Where was the tire reconnected?|to the repair kit|0
The other day , my best friend and I were riding to his house . When we were almost there , I noticed that the front tire on my bicycle felt rather wobbly and was most likely flat . I was in luck however , as my friend had a bicycle repair kit and some spare tires . Once we arrived at my friend 's house , I asked my friend if he let me borrow his bicycle repair kit . Next I filled the tube with air to check where the tube was damaged , and found a small glass shard which had punctured through it . After making ensure the tube was fully deflated , I repaired the puncture in the tube by using glue and applying a patch on top , then slid it back onto the tire using my hands . Next , I placed and pushed the tire back onto the tube . Finally , I pumped air into the tire until it was filled up and the bicycle was ready to be ridden again .|Where was the tire reconnected?|At the friend's house|1
The other day , my best friend and I were riding to his house . When we were almost there , I noticed that the front tire on my bicycle felt rather wobbly and was most likely flat . I was in luck however , as my friend had a bicycle repair kit and some spare tires . Once we arrived at my friend 's house , I asked my friend if he let me borrow his bicycle repair kit . Next I filled the tube with air to check where the tube was damaged , and found a small glass shard which had punctured through it . After making ensure the tube was fully deflated , I repaired the puncture in the tube by using glue and applying a patch on top , then slid it back onto the tire using my hands . Next , I placed and pushed the tire back onto the tube . Finally , I pumped air into the tire until it was filled up and the bicycle was ready to be ridden again .|What did they reconnect onto the bicycle?|A spare tire|0
The other day , my best friend and I were riding to his house . When we were almost there , I noticed that the front tire on my bicycle felt rather wobbly and was most likely flat . I was in luck however , as my friend had a bicycle repair kit and some spare tires . Once we arrived at my friend 's house , I asked my friend if he let me borrow his bicycle repair kit . Next I filled the tube with air to check where the tube was damaged , and found a small glass shard which had punctured through it . After making ensure the tube was fully deflated , I repaired the puncture in the tube by using glue and applying a patch on top , then slid it back onto the tire using my hands . Next , I placed and pushed the tire back onto the tube . Finally , I pumped air into the tire until it was filled up and the bicycle was ready to be ridden again .|What did they reconnect onto the bicycle?|The repaired tire|1
The other day , my best friend and I were riding to his house . When we were almost there , I noticed that the front tire on my bicycle felt rather wobbly and was most likely flat . I was in luck however , as my friend had a bicycle repair kit and some spare tires . Once we arrived at my friend 's house , I asked my friend if he let me borrow his bicycle repair kit . Next I filled the tube with air to check where the tube was damaged , and found a small glass shard which had punctured through it . After making ensure the tube was fully deflated , I repaired the puncture in the tube by using glue and applying a patch on top , then slid it back onto the tire using my hands . Next , I placed and pushed the tire back onto the tube . Finally , I pumped air into the tire until it was filled up and the bicycle was ready to be ridden again .|What was removed from the bike?|The flat tire|1
The other day , my best friend and I were riding to his house . When we were almost there , I noticed that the front tire on my bicycle felt rather wobbly and was most likely flat . I was in luck however , as my friend had a bicycle repair kit and some spare tires . Once we arrived at my friend 's house , I asked my friend if he let me borrow his bicycle repair kit . Next I filled the tube with air to check where the tube was damaged , and found a small glass shard which had punctured through it . After making ensure the tube was fully deflated , I repaired the puncture in the tube by using glue and applying a patch on top , then slid it back onto the tire using my hands . Next , I placed and pushed the tire back onto the tube . Finally , I pumped air into the tire until it was filled up and the bicycle was ready to be ridden again .|What was removed from the bike?|the handlebars|0
The other day , my best friend and I were riding to his house . When we were almost there , I noticed that the front tire on my bicycle felt rather wobbly and was most likely flat . I was in luck however , as my friend had a bicycle repair kit and some spare tires . Once we arrived at my friend 's house , I asked my friend if he let me borrow his bicycle repair kit . Next I filled the tube with air to check where the tube was damaged , and found a small glass shard which had punctured through it . After making ensure the tube was fully deflated , I repaired the puncture in the tube by using glue and applying a patch on top , then slid it back onto the tire using my hands . Next , I placed and pushed the tire back onto the tube . Finally , I pumped air into the tire until it was filled up and the bicycle was ready to be ridden again .|When did he reconnect the tire onto the bicycle?|Before they went to cinema.|0
The other day , my best friend and I were riding to his house . When we were almost there , I noticed that the front tire on my bicycle felt rather wobbly and was most likely flat . I was in luck however , as my friend had a bicycle repair kit and some spare tires . Once we arrived at my friend 's house , I asked my friend if he let me borrow his bicycle repair kit . Next I filled the tube with air to check where the tube was damaged , and found a small glass shard which had punctured through it . After making ensure the tube was fully deflated , I repaired the puncture in the tube by using glue and applying a patch on top , then slid it back onto the tire using my hands . Next , I placed and pushed the tire back onto the tube . Finally , I pumped air into the tire until it was filled up and the bicycle was ready to be ridden again .|When did he reconnect the tire onto the bicycle?|After repairing the tire|1
The other day , my best friend and I were riding to his house . When we were almost there , I noticed that the front tire on my bicycle felt rather wobbly and was most likely flat . I was in luck however , as my friend had a bicycle repair kit and some spare tires . Once we arrived at my friend 's house , I asked my friend if he let me borrow his bicycle repair kit . Next I filled the tube with air to check where the tube was damaged , and found a small glass shard which had punctured through it . After making ensure the tube was fully deflated , I repaired the puncture in the tube by using glue and applying a patch on top , then slid it back onto the tire using my hands . Next , I placed and pushed the tire back onto the tube . Finally , I pumped air into the tire until it was filled up and the bicycle was ready to be ridden again .|When did he remove the front tire and tube?|while they were repairing the tire|1
The other day , my best friend and I were riding to his house . When we were almost there , I noticed that the front tire on my bicycle felt rather wobbly and was most likely flat . I was in luck however , as my friend had a bicycle repair kit and some spare tires . Once we arrived at my friend 's house , I asked my friend if he let me borrow his bicycle repair kit . Next I filled the tube with air to check where the tube was damaged , and found a small glass shard which had punctured through it . After making ensure the tube was fully deflated , I repaired the puncture in the tube by using glue and applying a patch on top , then slid it back onto the tire using my hands . Next , I placed and pushed the tire back onto the tube . Finally , I pumped air into the tire until it was filled up and the bicycle was ready to be ridden again .|When did he remove the front tire and tube?|while they were riding the bike|0
My friend Thomas was going out of town and asked if I could feed his fish . I said I would of course . Getting into his building was more the challenge .  I had to sign in with the front desk , designate my parking place and give my license plate before the door man would let me in the building .  I cross the lobby and head upstairs .  They look happy and very active . The sun is shining in through a window across the room and there is a table next to the tank with a container of fish food . I read the container to make sure I understand the instruction .  You ca n't give them too much or it will sink and make the water murky . I try to get just the right amount . The fish get really active when they notice food and immediately start eating .  Fish are so easy .|What did they enter|the bus|0
My friend Thomas was going out of town and asked if I could feed his fish . I said I would of course . Getting into his building was more the challenge .  I had to sign in with the front desk , designate my parking place and give my license plate before the door man would let me in the building .  I cross the lobby and head upstairs .  They look happy and very active . The sun is shining in through a window across the room and there is a table next to the tank with a container of fish food . I read the container to make sure I understand the instruction .  You ca n't give them too much or it will sink and make the water murky . I try to get just the right amount . The fish get really active when they notice food and immediately start eating .  Fish are so easy .|What did they enter|his friend's building|1
My friend Thomas was going out of town and asked if I could feed his fish . I said I would of course . Getting into his building was more the challenge .  I had to sign in with the front desk , designate my parking place and give my license plate before the door man would let me in the building .  I cross the lobby and head upstairs .  They look happy and very active . The sun is shining in through a window across the room and there is a table next to the tank with a container of fish food . I read the container to make sure I understand the instruction .  You ca n't give them too much or it will sink and make the water murky . I try to get just the right amount . The fish get really active when they notice food and immediately start eating .  Fish are so easy .|When did they enter the apartment?|during the day|1
My friend Thomas was going out of town and asked if I could feed his fish . I said I would of course . Getting into his building was more the challenge .  I had to sign in with the front desk , designate my parking place and give my license plate before the door man would let me in the building .  I cross the lobby and head upstairs .  They look happy and very active . The sun is shining in through a window across the room and there is a table next to the tank with a container of fish food . I read the container to make sure I understand the instruction .  You ca n't give them too much or it will sink and make the water murky . I try to get just the right amount . The fish get really active when they notice food and immediately start eating .  Fish are so easy .|When did they enter the apartment?|the next day|0
My friend Thomas was going out of town and asked if I could feed his fish . I said I would of course . Getting into his building was more the challenge .  I had to sign in with the front desk , designate my parking place and give my license plate before the door man would let me in the building .  I cross the lobby and head upstairs .  They look happy and very active . The sun is shining in through a window across the room and there is a table next to the tank with a container of fish food . I read the container to make sure I understand the instruction .  You ca n't give them too much or it will sink and make the water murky . I try to get just the right amount . The fish get really active when they notice food and immediately start eating .  Fish are so easy .|How much food did they give|just the right amount|1
My friend Thomas was going out of town and asked if I could feed his fish . I said I would of course . Getting into his building was more the challenge .  I had to sign in with the front desk , designate my parking place and give my license plate before the door man would let me in the building .  I cross the lobby and head upstairs .  They look happy and very active . The sun is shining in through a window across the room and there is a table next to the tank with a container of fish food . I read the container to make sure I understand the instruction .  You ca n't give them too much or it will sink and make the water murky . I try to get just the right amount . The fish get really active when they notice food and immediately start eating .  Fish are so easy .|How much food did they give|the amount the owner said to give|0
My friend Thomas was going out of town and asked if I could feed his fish . I said I would of course . Getting into his building was more the challenge .  I had to sign in with the front desk , designate my parking place and give my license plate before the door man would let me in the building .  I cross the lobby and head upstairs .  They look happy and very active . The sun is shining in through a window across the room and there is a table next to the tank with a container of fish food . I read the container to make sure I understand the instruction .  You ca n't give them too much or it will sink and make the water murky . I try to get just the right amount . The fish get really active when they notice food and immediately start eating .  Fish are so easy .|When did they see the fish tank?|when they went in the apartment|1
My friend Thomas was going out of town and asked if I could feed his fish . I said I would of course . Getting into his building was more the challenge .  I had to sign in with the front desk , designate my parking place and give my license plate before the door man would let me in the building .  I cross the lobby and head upstairs .  They look happy and very active . The sun is shining in through a window across the room and there is a table next to the tank with a container of fish food . I read the container to make sure I understand the instruction .  You ca n't give them too much or it will sink and make the water murky . I try to get just the right amount . The fish get really active when they notice food and immediately start eating .  Fish are so easy .|When did they see the fish tank?|after entering the building|0
My friend Thomas was going out of town and asked if I could feed his fish . I said I would of course . Getting into his building was more the challenge .  I had to sign in with the front desk , designate my parking place and give my license plate before the door man would let me in the building .  I cross the lobby and head upstairs .  They look happy and very active . The sun is shining in through a window across the room and there is a table next to the tank with a container of fish food . I read the container to make sure I understand the instruction .  You ca n't give them too much or it will sink and make the water murky . I try to get just the right amount . The fish get really active when they notice food and immediately start eating .  Fish are so easy .|What do they see when they enter the apartment?|Sun shining and a table next to the tank with fish food|1
My friend Thomas was going out of town and asked if I could feed his fish . I said I would of course . Getting into his building was more the challenge .  I had to sign in with the front desk , designate my parking place and give my license plate before the door man would let me in the building .  I cross the lobby and head upstairs .  They look happy and very active . The sun is shining in through a window across the room and there is a table next to the tank with a container of fish food . I read the container to make sure I understand the instruction .  You ca n't give them too much or it will sink and make the water murky . I try to get just the right amount . The fish get really active when they notice food and immediately start eating .  Fish are so easy .|What do they see when they enter the apartment?|Thomas|0
My friend Thomas was going out of town and asked if I could feed his fish . I said I would of course . Getting into his building was more the challenge .  I had to sign in with the front desk , designate my parking place and give my license plate before the door man would let me in the building .  I cross the lobby and head upstairs .  They look happy and very active . The sun is shining in through a window across the room and there is a table next to the tank with a container of fish food . I read the container to make sure I understand the instruction .  You ca n't give them too much or it will sink and make the water murky . I try to get just the right amount . The fish get really active when they notice food and immediately start eating .  Fish are so easy .|Who did they give the food|the fish|1
My friend Thomas was going out of town and asked if I could feed his fish . I said I would of course . Getting into his building was more the challenge .  I had to sign in with the front desk , designate my parking place and give my license plate before the door man would let me in the building .  I cross the lobby and head upstairs .  They look happy and very active . The sun is shining in through a window across the room and there is a table next to the tank with a container of fish food . I read the container to make sure I understand the instruction .  You ca n't give them too much or it will sink and make the water murky . I try to get just the right amount . The fish get really active when they notice food and immediately start eating .  Fish are so easy .|Who did they give the food|to the person who would be feeding the fish|0
I got in to my car and drove to the electronics store . When I got there , I went straight to the section that had all the DVD players . I looked at all the different brands on the shelf . I asked myself what kind I should get . I was n't sure what I should get , so I asked a store associate to come over and help me decide which DVD player would be best for me . The store associate said the Sony DVD player that was $ 50 was exactly what I needed so that was what I chose to buy . I took out my wallet and I paid for the DVD player . I walked back to my car and I drove home . I got home and I set up my new DVD player and watched a movie .|Where did they grab the box from?|the garbage|0
I got in to my car and drove to the electronics store . When I got there , I went straight to the section that had all the DVD players . I looked at all the different brands on the shelf . I asked myself what kind I should get . I was n't sure what I should get , so I asked a store associate to come over and help me decide which DVD player would be best for me . The store associate said the Sony DVD player that was $ 50 was exactly what I needed so that was what I chose to buy . I took out my wallet and I paid for the DVD player . I walked back to my car and I drove home . I got home and I set up my new DVD player and watched a movie .|Where did they grab the box from?|The shelf.|1
I got in to my car and drove to the electronics store . When I got there , I went straight to the section that had all the DVD players . I looked at all the different brands on the shelf . I asked myself what kind I should get . I was n't sure what I should get , so I asked a store associate to come over and help me decide which DVD player would be best for me . The store associate said the Sony DVD player that was $ 50 was exactly what I needed so that was what I chose to buy . I took out my wallet and I paid for the DVD player . I walked back to my car and I drove home . I got home and I set up my new DVD player and watched a movie .|Where was the box grabbed?|the register|0
I got in to my car and drove to the electronics store . When I got there , I went straight to the section that had all the DVD players . I looked at all the different brands on the shelf . I asked myself what kind I should get . I was n't sure what I should get , so I asked a store associate to come over and help me decide which DVD player would be best for me . The store associate said the Sony DVD player that was $ 50 was exactly what I needed so that was what I chose to buy . I took out my wallet and I paid for the DVD player . I walked back to my car and I drove home . I got home and I set up my new DVD player and watched a movie .|Where was the box grabbed?|from the dvd display rack|1
I got in to my car and drove to the electronics store . When I got there , I went straight to the section that had all the DVD players . I looked at all the different brands on the shelf . I asked myself what kind I should get . I was n't sure what I should get , so I asked a store associate to come over and help me decide which DVD player would be best for me . The store associate said the Sony DVD player that was $ 50 was exactly what I needed so that was what I chose to buy . I took out my wallet and I paid for the DVD player . I walked back to my car and I drove home . I got home and I set up my new DVD player and watched a movie .|What did they grab from the shelf?|The DVD player.|1
I got in to my car and drove to the electronics store . When I got there , I went straight to the section that had all the DVD players . I looked at all the different brands on the shelf . I asked myself what kind I should get . I was n't sure what I should get , so I asked a store associate to come over and help me decide which DVD player would be best for me . The store associate said the Sony DVD player that was $ 50 was exactly what I needed so that was what I chose to buy . I took out my wallet and I paid for the DVD player . I walked back to my car and I drove home . I got home and I set up my new DVD player and watched a movie .|What did they grab from the shelf?|A wallet.|0
I got in to my car and drove to the electronics store . When I got there , I went straight to the section that had all the DVD players . I looked at all the different brands on the shelf . I asked myself what kind I should get . I was n't sure what I should get , so I asked a store associate to come over and help me decide which DVD player would be best for me . The store associate said the Sony DVD player that was $ 50 was exactly what I needed so that was what I chose to buy . I took out my wallet and I paid for the DVD player . I walked back to my car and I drove home . I got home and I set up my new DVD player and watched a movie .|Once they grabbed the box, where did the go?|Home|1
I got in to my car and drove to the electronics store . When I got there , I went straight to the section that had all the DVD players . I looked at all the different brands on the shelf . I asked myself what kind I should get . I was n't sure what I should get , so I asked a store associate to come over and help me decide which DVD player would be best for me . The store associate said the Sony DVD player that was $ 50 was exactly what I needed so that was what I chose to buy . I took out my wallet and I paid for the DVD player . I walked back to my car and I drove home . I got home and I set up my new DVD player and watched a movie .|Once they grabbed the box, where did the go?|To the grocery store|0
When my family was done eating our food for dinner , it was my turn to clean the table of all the food that we had eaten . I first cleared all of the dishes off of the table and took them to the sink . I ran water over the food to make sure that it got off of the plates for my brother who was going to do the dishes . I took a couple of containers and poured any extra food into them so that we could keep them for leftovers . I took it to the table and scrubbed the table down . I picked up any extra scraps that were on the table and kept them in the rag . When I was done , I took the rag to the sink and washed it off .|What was the rag run under?|the sink|1
When my family was done eating our food for dinner , it was my turn to clean the table of all the food that we had eaten . I first cleared all of the dishes off of the table and took them to the sink . I ran water over the food to make sure that it got off of the plates for my brother who was going to do the dishes . I took a couple of containers and poured any extra food into them so that we could keep them for leftovers . I took it to the table and scrubbed the table down . I picked up any extra scraps that were on the table and kept them in the rag . When I was done , I took the rag to the sink and washed it off .|What was the rag run under?|door|0
When my family was done eating our food for dinner , it was my turn to clean the table of all the food that we had eaten . I first cleared all of the dishes off of the table and took them to the sink . I ran water over the food to make sure that it got off of the plates for my brother who was going to do the dishes . I took a couple of containers and poured any extra food into them so that we could keep them for leftovers . I took it to the table and scrubbed the table down . I picked up any extra scraps that were on the table and kept them in the rag . When I was done , I took the rag to the sink and washed it off .|What did the person get out?|leftovers out of the fridge|0
When my family was done eating our food for dinner , it was my turn to clean the table of all the food that we had eaten . I first cleared all of the dishes off of the table and took them to the sink . I ran water over the food to make sure that it got off of the plates for my brother who was going to do the dishes . I took a couple of containers and poured any extra food into them so that we could keep them for leftovers . I took it to the table and scrubbed the table down . I picked up any extra scraps that were on the table and kept them in the rag . When I was done , I took the rag to the sink and washed it off .|What did the person get out?|food containers|1
When my family was done eating our food for dinner , it was my turn to clean the table of all the food that we had eaten . I first cleared all of the dishes off of the table and took them to the sink . I ran water over the food to make sure that it got off of the plates for my brother who was going to do the dishes . I took a couple of containers and poured any extra food into them so that we could keep them for leftovers . I took it to the table and scrubbed the table down . I picked up any extra scraps that were on the table and kept them in the rag . When I was done , I took the rag to the sink and washed it off .|How long did they run it under some really warm water?|a few seconds|1
When my family was done eating our food for dinner , it was my turn to clean the table of all the food that we had eaten . I first cleared all of the dishes off of the table and took them to the sink . I ran water over the food to make sure that it got off of the plates for my brother who was going to do the dishes . I took a couple of containers and poured any extra food into them so that we could keep them for leftovers . I took it to the table and scrubbed the table down . I picked up any extra scraps that were on the table and kept them in the rag . When I was done , I took the rag to the sink and washed it off .|How long did they run it under some really warm water?|a few hours|0
When my family was done eating our food for dinner , it was my turn to clean the table of all the food that we had eaten . I first cleared all of the dishes off of the table and took them to the sink . I ran water over the food to make sure that it got off of the plates for my brother who was going to do the dishes . I took a couple of containers and poured any extra food into them so that we could keep them for leftovers . I took it to the table and scrubbed the table down . I picked up any extra scraps that were on the table and kept them in the rag . When I was done , I took the rag to the sink and washed it off .|When did they get out a rag?|before wiping the table|1
When my family was done eating our food for dinner , it was my turn to clean the table of all the food that we had eaten . I first cleared all of the dishes off of the table and took them to the sink . I ran water over the food to make sure that it got off of the plates for my brother who was going to do the dishes . I took a couple of containers and poured any extra food into them so that we could keep them for leftovers . I took it to the table and scrubbed the table down . I picked up any extra scraps that were on the table and kept them in the rag . When I was done , I took the rag to the sink and washed it off .|When did they get out a rag?|after cleaning the table|0
When my family was done eating our food for dinner , it was my turn to clean the table of all the food that we had eaten . I first cleared all of the dishes off of the table and took them to the sink . I ran water over the food to make sure that it got off of the plates for my brother who was going to do the dishes . I took a couple of containers and poured any extra food into them so that we could keep them for leftovers . I took it to the table and scrubbed the table down . I picked up any extra scraps that were on the table and kept them in the rag . When I was done , I took the rag to the sink and washed it off .|They ran what under the water?|plates|1
When my family was done eating our food for dinner , it was my turn to clean the table of all the food that we had eaten . I first cleared all of the dishes off of the table and took them to the sink . I ran water over the food to make sure that it got off of the plates for my brother who was going to do the dishes . I took a couple of containers and poured any extra food into them so that we could keep them for leftovers . I took it to the table and scrubbed the table down . I picked up any extra scraps that were on the table and kept them in the rag . When I was done , I took the rag to the sink and washed it off .|They ran what under the water?|containers|0
When my family was done eating our food for dinner , it was my turn to clean the table of all the food that we had eaten . I first cleared all of the dishes off of the table and took them to the sink . I ran water over the food to make sure that it got off of the plates for my brother who was going to do the dishes . I took a couple of containers and poured any extra food into them so that we could keep them for leftovers . I took it to the table and scrubbed the table down . I picked up any extra scraps that were on the table and kept them in the rag . When I was done , I took the rag to the sink and washed it off .|What did they do?|do the dishes|0
When my family was done eating our food for dinner , it was my turn to clean the table of all the food that we had eaten . I first cleared all of the dishes off of the table and took them to the sink . I ran water over the food to make sure that it got off of the plates for my brother who was going to do the dishes . I took a couple of containers and poured any extra food into them so that we could keep them for leftovers . I took it to the table and scrubbed the table down . I picked up any extra scraps that were on the table and kept them in the rag . When I was done , I took the rag to the sink and washed it off .|What did they do?|cleaned the table|1
My whole life I thought the only way to unclog a toilet was by using a plunger and it was disguising . What a terrible thing to have to do , grab this wooden stick with this rubber suction cup looking thing at the end of it that was already dirty with the toilet water from the last time someone used it . Then finally , one day an ex girlfriend tells me that if you pour bleach into a clogged toilet and let it sit for awhile that it will dissolve in there and somehow make the toilet flush able . Since then I do n't even have a plunger and any time I can I share the knowledge with others who do the same thing now and can not believe that it works . I do n't know how plungers even sell anymore .|What was it that worked and how did they feel?|The oil and they feel terrible|0
My whole life I thought the only way to unclog a toilet was by using a plunger and it was disguising . What a terrible thing to have to do , grab this wooden stick with this rubber suction cup looking thing at the end of it that was already dirty with the toilet water from the last time someone used it . Then finally , one day an ex girlfriend tells me that if you pour bleach into a clogged toilet and let it sit for awhile that it will dissolve in there and somehow make the toilet flush able . Since then I do n't even have a plunger and any time I can I share the knowledge with others who do the same thing now and can not believe that it works . I do n't know how plungers even sell anymore .|What was it that worked and how did they feel?|Bleach and surprised|1
